"Year","Month","SST.UPW.1","SST.UPW.2","SST.UPW.3","SST.UPW.4","SST.UPW.5","Bakun.UPW","EMTperp.UPW","Wetip.UPW","Weperp.UPW"
1985,5,0.185780645161291,0.058174193548389,0.153357115749525,0.102980645161288,0.370144700460827,1382.26759868177,-940.402352874184,7.77272503606811,2.6873341382939
1985,6,-0.0314361904761888,0.551386666666666,0.760282352941175,1.16419529411765,2.26120857142857,1877.56754252474,-1715.37585536217,14.0496683844816,6.14635825543016
1985,7,0.857976651305684,1.19152903225806,1.18406451612903,1.24438178368121,1.65822211981567,1164.15396694805,-1761.45065141535,9.81167866020619,2.91164173656924
1985,8,0.665474039938555,0.908131182795696,1.33689487666034,1.23969867172676,1.32608202764977,1325.94133616373,-2072.29163607762,11.1328271162769,4.52380687416089
1985,9,0.590316825396826,1.04400666666667,0.891985098039218,0.884042352941179,1.54417238095238,857.652128027905,-935.732602913055,9.57940811515876,4.24951277911285
1985,10,0.1853910906298,0.403788530465949,0.196837950664136,0.185074003795066,0.681105990783411,325.873714752203,-441.446733605836,5.71668073922529,3.07006789807542
1985,11,-0.376358730158731,-0.134957777777778,0.0278023529411762,0.120654901960783,0.196921904761904,2.32657139369508,-142.835548439047,0.658291918998382,0.886491921199784
1985,12,-0.21208479262673,-0.154469534050179,-0.166516888045539,-0.487509677419354,-0.169774193548385,-144.377580629237,-105.592549553811,-12.0720744970301,-0.2473004236381
1986,1,-0.222092165898616,-0.108866666666668,-0.206932827324479,-0.218584440227705,0.138825806451614,-135.160899635621,-194.561525945041,-7.34726665831906,0.725328126454702
1986,2,-0.35798843537415,-0.301793650793652,-0.456121848739496,-0.61616050420168,-0.538904081632655,65.3172568460945,-551.267323376469,-5.70466903154684,0.0164900421282073
1986,3,-0.406325038402457,-0.435192831541219,-0.479808728652749,-0.631298671726757,-0.329936405529953,215.931357896799,-368.543295050428,-1.77003753807252,0.0857184746998718
1986,4,-0.372945396825397,-0.0833718518518509,0.00093490196078605,0.0257843137254881,0.102472380952381,482.809534148294,-499.919022472666,1.94782576172855,0.769328397102098
1986,5,0.230304147465436,0.311772043010752,0.486667931688803,0.774498671726754,1.18606082949309,1775.16634503873,-1064.16861268464,9.03023440508145,2.21180233034461
1986,6,0.201368253968255,0.404447407407407,1.03941647058824,1.31623294117647,1.38692190476191,1212.25493397799,-970.534025796485,9.93945208886904,3.47145281115655
1986,7,0.220473732718894,0.750328315412187,1.04950967741935,1.04168425047438,1.44260368663594,1712.19377477924,-2491.21906181278,11.4872341342746,2.79302332613958
1986,8,1.21840307219662,1.8618100358423,1.98126451612903,1.92453130929792,2.05811244239631,1433.16111929754,-2109.62004997187,9.71439619881329,2.16119842262421
1986,9,0.954680634920635,1.0364762962963,0.629562352941175,0.65255607843137,1.45327904761905,1105.43256330163,-1159.29575732662,14.5501123564761,7.12918070097184
1986,10,0.513411367127496,0.712270250896058,0.443172675521822,0.576900948766603,1.31242304147466,330.015558479601,-484.94628375268,5.27481793266605,2.14421930389994
1986,11,-0.344692063492062,-0.527150370370371,-0.269376470588234,-0.290956078431371,0.232783809523809,-7.31935507331155,-61.9408207594561,-1.10660354079851,1.24126063023674
1986,12,-0.597607373271892,-0.488009318996419,-0.345051992409868,-0.433530929791271,-0.0749059907834102,-149.758776982945,-273.533529435802,-18.1647509499632,0.251453426354284
1987,1,-0.579250998463902,-0.381132616487456,-0.190346869070211,-0.153330550284629,-0.0994322580645139,-161.2010624465,-325.726805729434,-15.3692560053573,0.316779750397145
1987,2,-0.42488231292517,-0.20601111111111,-0.115151260504202,-0.234102521008406,-0.117284693877551,-3.71876084111163,-366.302724728545,-8.61116821851154,0.224314681210577
1987,3,-0.303659600614441,-0.120931182795697,-0.200219354838708,-0.379759392789374,-0.0931041474654393,280.170980836234,-586.16717863479,-1.34149488813752,-0.439621935148878
1987,4,-0.392459047619049,-0.100211851851853,-0.281269019607844,-0.129555294117647,0.537367619047622,770.475452902037,-414.265257042145,0.466945397735753,-0.0328165562571491
1987,5,0.265538556067586,0.471371326164874,0.41173662239089,0.40234155597723,0.741476497695853,627.224629051417,-406.816836819991,1.94171190026375,0.114152810094191
1987,6,-0.0811326984126985,0.158111111111111,0.158185098039215,0.471876862745098,1.20486571428571,1137.41284910075,-1445.43046532865,15.6718988770098,8.02228846545047
1987,7,0.013607987711211,0.424706093189965,0.531253130929791,0.725174193548387,1.44302304147465,1309.20184896082,-1534.23672882836,7.82331738065259,2.38323828279446
1987,8,0.593327188940091,0.428898924731183,0.810893358633777,0.656262618595825,0.592376958525346,1074.40198572097,-1465.49640323251,8.95930133139876,3.52914790597933
1987,9,0.655909841269843,0.997191851851849,0.731553725490198,0.609159215686276,0.963770476190476,780.968243887285,-1066.67567222216,9.55899719537451,5.43258583188343
1987,10,-0.177104147465435,-0.0660874551971311,0.106740037950662,0.310586717267551,0.525039631336405,72.5825904285516,39.3291707110911,1.50766208425239,0.617058284971321
1987,11,-0.000107301587302544,0.10428962962963,-0.0190494117647049,0.0875725490196082,0.389087619047618,37.7992955196705,-144.42482488082,1.51736729179121,0.819940464117195
1987,12,-0.246136405529953,-0.326212903225805,-0.14149222011385,-0.0390246679316917,0.35563594470046,-187.206720766473,29.9301275894166,-2.583077964804,0.108053750376834
1988,1,-0.276508755760371,-0.0760551971326144,0.0436288425047451,0.00710512333965951,0.123847926267281,-186.174881771474,-166.787411834932,-18.5067682951049,-0.26933513653872
1988,2,-0.407408210180623,-0.199718773946358,-0.145767139959432,-0.174453549695741,0.257951724137932,33.1723843328212,-374.525300255783,-4.55653297342145,0.362752422418182
1988,3,-0.62582365591398,-0.378242293906812,-0.475234155597725,-0.302556356736243,0.051277419354836,183.022765347747,-860.885265561418,0.980206719739276,0.930941806596828
1988,4,-0.20460380952381,-0.355574074074077,-0.316061960784314,-0.126068235294117,-0.103493333333333,116.818961428121,-253.190011313527,0.3456867119971,-0.201138982071924
1988,5,0.270708448540706,0.262298207885305,0.392809108159394,0.389063377609109,0.785609216589862,726.150398388246,-1272.67723844269,13.756494145529,4.65118913358712
1988,6,0.614173968253969,0.519959259259259,0.193776470588237,0.203432941176469,0.862594285714284,537.360568362969,-644.786400141786,12.2994272431913,6.25679891283373
1988,7,0.24986850998464,0.0530437275985669,0.454399240986717,0.788455407969639,0.610840552995391,511.805770829681,-1667.0850587344,8.16675193640594,1.82858481794116
1988,8,0.9111311827957,0.475513978494622,0.950984440227703,1.04533738140417,0.941556682027649,434.045488958279,-1623.99988020646,9.52171717676565,3.85039232553436
1988,9,0.681092063492063,0.498977777777778,0.612565490196076,0.54671294117647,0.350792380952381,328.813011314161,-1093.90511263466,12.8434585607026,7.36694333035728
1988,10,0.406911213517663,0.65968028673835,0.559639468690701,0.471486148007592,0.851060829493086,210.041441692745,-691.432828881572,4.52546745031474,2.66783099708684
1988,11,-0.264141587301587,-0.137524444444445,0.0758996078431373,0.164030588235295,0.269635238095237,-27.7823971699562,-182.871894682308,-0.735880857779266,0.53560280394176
1988,12,-0.103737634408603,0.020156272401433,0.0322436432637581,-0.0321449715370008,0.0679520737327195,-108.350639030366,-119.948782995042,-14.5181399777949,0.0189448498874272
1989,1,-0.269258986175114,-0.0797691756272378,-0.104124478178367,-0.101584819734345,0.238451612903223,-102.722118694924,-242.472635960397,-15.9746408586894,0.438577979080026
1989,2,-0.373025850340134,0.0995928571428593,0.197101680672269,-0.109094957983192,-0.0510530612244899,-15.280217169282,-283.535097198186,-5.8647954056097,0.824415445246172
1989,3,-0.496248233486941,-0.328718279569891,-0.241754079696396,-0.332192789373817,0.0729631336405525,62.0155501227881,-350.513982059416,-0.518244962223666,0.56092233471443
1989,4,-0.554539047619048,-0.226991111111111,-0.0116792156862751,-0.0406407843137231,-0.042154285714286,252.000235525021,-423.336305859619,2.83363768111815,0.634973385511416
1989,5,-0.476932104454683,-0.412810035842295,-0.201220493358637,0.0373586337760941,0.510842396313365,857.824364806128,-1286.98390001562,16.6787949323242,7.07788792738373
1989,6,-0.268426666666667,0.118984444444447,0.471414901960785,0.788341176470588,1.32599714285714,633.260918545332,-1243.9171753263,11.5428511394493,4.62546240097733
1989,7,0.59977142857143,0.69345089605735,1.06494345351043,1.40207210626186,1.73883133640553,662.525519762349,-2280.88997899749,12.6157148254979,4.44308187637411
1989,8,0.809528110599079,1.20839784946237,1.40861252371916,1.40054800759013,2.14137603686636,630.958850768174,-2283.53578815989,9.60982402329487,1.5551238343648
1989,9,0.506332698412695,0.621674814814813,0.622863529411763,0.564254117647057,0.815282857142858,392.317342245742,-968.990255234399,11.054039832633,6.18558811259032
1989,10,0.105330875576037,0.280843727598565,0.216786337760912,0.370195825426944,0.956648847926267,189.874242417685,-334.18269246038,7.95987615228802,3.1492307803507
1989,11,-0.253287619047619,-0.133632592592591,0.104951372549021,0.18378666666667,0.212614285714285,313.166633253268,-94.4071380266412,-4.61875460249776,0.157934601883007
1989,12,0.199555760368664,0.316984946236559,0.150819734345351,-0.020551802656545,0.131084792626726,-165.165311022392,-125.373544271713,-20.8090051787945,-0.977803209049966
1990,1,-0.331737634408601,-0.311551254480285,-0.152083491461099,-0.164247438330172,-0.0124995391705092,-103.125979980264,-116.856642445322,-11.3872029495689,-0.235706097088396
1990,2,-0.36686462585034,-0.258775396825399,-0.0195420168067209,-0.0948747899159663,0.111211224489796,25.7149289807493,-471.051424139265,-3.52798414513943,0.0672284944552546
1990,3,-0.655876497695854,-0.475018637992832,-0.284834914611004,-0.28390588235294,-0.0349023041474652,138.547516449907,-705.355180378573,-0.205026661721067,-0.888430654773326
1990,4,-0.13140253968254,0.00426962962962918,0.131919215686274,0.101732549019609,0.222219047619049,269.409943982137,-911.947404580646,4.05437902342864,1.36808720781289
1990,5,0.230871889400923,-0.0742372759856629,-0.117171157495257,0.14838406072106,0.727933640552994,534.294054711913,-980.240466849513,9.76908652239053,4.5696660955628
1990,6,-0.0335015873015898,0.493420740740742,0.627519215686277,0.836643137254903,1.75611238095238,757.575711041923,-1942.75105335489,15.1304736140115,7.76068073737745
1990,7,0.46303717357911,0.741671684587814,0.692174573055031,0.756182163187855,0.872935483870968,673.983647766028,-1359.05901906095,6.74040607622528,1.95816580049329
1990,8,0.551342549923195,0.962453046594984,1.00174724857685,0.935194686907021,1.35469308755761,736.053886941885,-2301.00134752778,10.6612104092399,1.63913542490357
1990,9,0.353066031746032,0.81013037037037,1.11219764705882,1.02759764705883,1.26237142857143,447.903982413332,-1529.28296653495,9.5069823209376,3.88600347176836
1990,10,0.408892165898617,0.770801433691755,0.407136242884249,0.442886527514229,0.787626728110599,156.565201923977,-138.483523722737,3.1802032126522,1.32649463329867
1990,11,-0.348168253968254,-0.138823703703704,-0.0429858823529408,0.16129882352941,0.393796190476191,-14.5586103386912,-105.586797016629,0.576305854129641,0.892713450134913
1990,12,0.143648540706607,0.336959856630823,0.256515370018978,-0.0600053130929794,0.0930986175115223,-177.485770884567,-141.021238757835,-18.4029633481306,-0.704343929950551
1991,1,-0.196070046082951,-0.160093189964158,-0.0970481973434545,-0.244892599620496,-0.159581566820275,-66.2097358538486,-390.542695190667,-14.0216756617092,0.258064858708243
1991,2,-0.735027891156463,-0.491283333333332,-0.128859663865548,-0.128870588235294,0.0441510204081652,-10.8479453140359,-440.704080817979,-10.4725992073499,0.307943556084948
1991,3,-0.617590783410137,-0.21149605734767,0.0342626185958252,-0.0170216318785563,-0.227507834101381,141.365233703574,-445.551890807441,-0.168932562600614,-0.0244979682609006
1991,4,-0.355795555555556,-0.198046666666666,-0.0420541176470586,-0.303847843137255,-0.0674714285714302,304.849446044907,-501.073468413375,2.56030526202171,0.983166760918022
1991,5,-0.0145056835637511,0.0661146953405023,0.161585578747626,0.121429981024665,0.410669124423961,398.494223932105,-403.515130215744,4.83758024044074,0.944398693271397
1991,6,0.100114920634919,0.146622962962962,0.102448627450983,0.172226666666667,0.263726666666667,668.875721617687,-1325.20111916992,16.7557002443358,9.62430687700314
1991,7,0.433278033794164,0.756590681003587,1.03705351043643,0.780365844402276,0.732097695852534,665.009742506655,-1420.14995005366,6.20986948193792,-0.225737054251093
1991,8,0.249756682027648,0.455905376344088,0.518088804554079,0.422480455407971,0.395016589861751,536.113666576963,-1698.74895144716,6.06459526301009,0.472726651668702
1991,9,0.644461587301585,0.85598814814815,0.942521568627452,0.921563921568627,1.00633047619047,429.730040209763,-1520.46199195179,9.75492143073853,4.96369457758519
1991,10,-0.117480184331797,-0.087790681003586,0.215599999999998,0.45618292220114,0.826394470046083,193.431408223618,-306.4614713842,6.57621990730889,2.68272521413829
1991,11,-0.21403746031746,0.0429540740740748,0.218562352941177,0.128620392156861,0.318482857142858,-81.0557769479088,-110.25392906934,-2.92557083583897,0.200653912827585
1991,12,0.0952485407066064,0.294169175627239,0.576503984819734,0.4842284629981,0.30851152073733,-217.883584695595,-180.031675349009,-13.6785845702268,-0.280113460599601
1992,1,0.177818740399385,0.166800716845877,0.287131688804553,0.131700189753321,0.31402949308756,-309.94620496315,-148.004266391908,-25.0622444428421,-1.24099326136008
1992,2,-0.226463054187192,-0.198282758620689,0.0283423935091278,0.0554604462474622,0.00955566502462801,75.0392750527384,-720.873383687777,-0.58508372718305,0.900480204056191
1992,3,-0.790775422427036,-0.407948387096774,-0.142636812144211,-0.167965085388992,-0.00935576036866692,119.048692157226,-347.978634503613,-0.861466547244338,0.110773909492394
1992,4,-0.571702222222225,-0.59986,-0.41383843137255,-0.297127843137254,0.155073333333331,352.434279339544,-526.305867761344,1.33988819011699,0.98896204645349
1992,5,-0.355831643625194,-0.0717670250896063,-0.191611385199241,0.117789753320682,0.468302304147468,552.016602595773,-532.979999441518,7.19521076999104,2.57690206757872
1992,6,-0.293645079365078,0.231314074074074,0.396308235294114,0.528038431372547,0.712860952380954,749.001198807035,-905.803082883788,16.170954928755,9.13702165014108
1992,7,0.176199692780337,0.377689605734766,0.805292599620493,1.00684098671727,1.60717419354838,718.646351552239,-1582.08994897984,10.7835981154376,3.88809125388632
1992,8,-0.097485714285714,0.608503225806452,0.980819734345353,0.989391271347248,1.12868755760369,733.84547641759,-1628.82572867721,12.2332436080459,5.10889734453545
1992,9,0.774976507936508,0.897419259259259,0.628254901960783,0.685040000000001,0.996067619047619,503.123340883808,-1125.89689389425,9.65265172854035,5.23552538771378
1992,10,0.152224884792627,0.300678136200716,0.188592789373814,0.176668690702087,0.388857142857141,161.003401626143,-336.347680584558,7.27218308939409,3.38884481620765
1992,11,-0.0384844444444425,0.057217037037038,0.143781960784313,-0.0305552941176472,0.0343504761904754,-72.5995090905756,-117.426812787053,0.740515957852838,1.68178692552221
1992,12,0.0245136712749634,0.0185211469534039,0.114356736242883,-0.0584485768500969,-0.110002764976958,-345.84870013847,-65.1169033172329,-29.0134078658088,-1.86790269997866
1993,1,-0.382492780337941,-0.284475268817207,0.00507096774193627,0.0420106261859559,0.219892165898617,-173.591618536315,-170.329595366704,-18.9435994883742,-0.753414941361523
1993,2,-0.272909523809524,-0.113478571428573,0.275679831932774,0.245045378151261,0.302542857142857,-24.9665901577135,-291.819696583176,-5.49524450015068,0.135430865484933
1993,3,-0.403625192012289,-0.23900716845878,-0.264647438330169,-0.456397722960151,-0.0172811059907829,181.559813323304,-515.758159081812,-0.4865632167152,0.178148078399788
1993,4,-0.413623492063493,-0.239783703703704,-0.348243921568624,-0.398570196078431,-0.0715790476190463,255.358899605359,-534.91117894619,1.21142975948091,0.571025334800947
1993,5,-0.267030414746543,-0.209567741935487,-0.191416318785578,-0.117903605313092,0.274511520737327,734.146790556526,-662.941119360935,7.59482104127435,2.62581732116304
1993,6,0.227761269841267,0.366219259259257,0.684278431372547,0.64462117647059,1.15924761904762,628.132478736558,-1070.50638232016,12.1744156226602,6.10657419216027
1993,7,0.188834408602151,0.238762007168457,0.551974193548386,0.882072106261859,1.6409400921659,828.222754467654,-2055.90988724208,12.5122522839243,5.14808507023913
1993,8,0.56710906298003,0.754964157706091,0.862034914611005,0.801679696394686,1.59809493087558,672.439917519636,-1744.92603712731,10.8157302786095,4.20765198612179
1993,9,0.359034920634922,0.770997777777779,0.814210196078431,0.721345882352942,0.742472380952382,422.056779378918,-1083.69503959442,9.05603652873772,4.54538457800115
1993,10,-0.273588940092164,0.159459498207884,0.585257685009488,0.457239468690702,0.424957603686636,115.350880721814,-273.74161058427,5.09784780672182,2.47523121819876
1993,11,-0.205017142857145,-0.20123925925926,-0.163033725490198,-0.311169411764705,-0.259795238095236,-212.267328940775,-41.182548508303,-1.87832148155445,0.305753046143619
1993,12,0.0486764976958547,0.238002150537632,0.138103984819736,-0.0977601518026567,0.0519594470046059,-225.657344299762,-65.4378313197528,-6.51252727907536,0.178881032118575
1994,1,-0.0571913978494614,-0.045997849462367,-0.137604554079697,-0.127695635673625,0.401776958525346,-204.470787989786,-163.375642541497,-16.1619310262486,-0.411797049432483
1994,2,-0.102367346938777,-0.187575396825398,-0.277152100840336,-0.381831092436975,-0.234245918367346,-13.9591189195074,-871.796778929121,-2.31709073531544,1.33149724072691
1994,3,0.0121087557603694,0.0921663082437263,0.0941070208728654,-0.0315673624288451,0.226538248847927,145.367877285896,-259.137825178362,-1.14872082004537,-0.299817149414715
1994,4,-0.224679999999999,-0.064638518518521,-0.0403984313725516,0.0841513725490195,0.364794285714286,331.701766363653,-333.304187603824,0.644516324597277,0.195005829773015
1994,5,0.14210138248848,0.264070967741937,0.300013662239088,0.535591650853892,1.02084608294931,915.718488038228,-1137.56729339161,9.28268590598769,4.15405142970453
1994,6,0.13979746031746,0.206736296296299,0.270353725490196,0.894050980392159,1.61328476190476,653.83034282344,-1415.08017399028,10.68158359833,5.21193912057762
1994,7,-0.264686943164364,0.179139068100358,0.559246299810248,1.07386034155598,1.42822764976959,549.069913437123,-1214.7776431143,5.28044125886733,-0.672372330645032
1994,8,0.533062980030721,0.898890322580645,0.997345730550286,0.982510056925996,1.33606082949309,592.688529986951,-1327.69183199409,6.47725818190824,1.01478817142954
1994,9,0.158688253968254,0.433171111111111,0.640294901960782,0.625676862745099,0.76268,504.408298404747,-1106.50146939787,5.32176966967107,1.86022921433966
1994,10,-0.201395391705066,-0.335683154121863,-0.234959392789374,-0.147587096774195,0.34930599078341,81.1037519512588,92.995745795256,1.26163018736381,0.642537015491764
1994,11,-0.412626031746033,-0.135732592592593,-0.290668235294117,-0.324637647058822,-0.0724019047619038,-239.264322079497,-22.3769181114994,-6.01005803756308,-0.103083228718612
1994,12,-0.468156682027651,-0.155240143369177,0.111006451612905,-0.135590891840607,-0.00710046082949489,-290.032111960664,-198.027657058468,-20.9807098052299,0.0205921341324595
1995,1,-0.828693087557603,-0.424790681003586,-0.349514990512333,-0.372313472485768,-0.0121225806451584,-219.646096174901,-256.410333611499,-16.030815871923,-0.4379592841468
1995,2,-0.644038095238095,-0.521974603174602,-0.230534453781512,-0.295293277310925,-0.257078571428572,-52.5342464681326,-433.563802938133,-7.60262906385392,-0.117341038769895
1995,3,-0.858358218125957,-0.783639426523298,-0.575160531309301,-0.473326755218217,-0.331759447004607,132.491080701865,-503.661410048455,-1.31370744777527,0.361506583892428
1995,4,-0.269715555555553,-0.250430370370371,-0.235028235294116,-0.220666666666666,0.0956066666666686,295.61898833719,-233.250916575866,0.00263304230091702,-0.164698745828306
1995,5,-0.556742857142858,-0.412672401433692,-0.597502846299811,-0.413886148007588,0.533367741935486,628.268343817562,-1021.89759416596,11.5503424908485,4.87108601182857
1995,6,0.823853968253967,0.549869629629629,0.716822745098039,0.990503529411765,1.62657619047619,796.164776553693,-1098.97137510403,14.4058003760299,7.30675899970678
1995,7,-0.104665437788018,0.742620071684588,1.20309146110057,1.07756204933586,1.59867373271889,573.548260256312,-1387.89836596726,8.9726648245381,3.09514251832409
1995,8,0.261756067588326,0.590678853046597,0.724698292220115,1.06141935483871,1.32340552995392,670.117984064591,-1498.54550423077,12.180356438803,6.00865242167846
1995,9,0.346765079365081,0.563217037037035,0.427963137254903,0.475170980392157,0.85493142857143,766.923277034501,-1479.14885475002,11.8591922828211,5.68566843241084
1995,10,0.100009216589861,-0.145847311827957,-0.0472296015180262,0.32060037950664,0.711829493087556,163.537221556128,-200.966329625712,5.0204827099265,2.09320198633116
1995,11,-0.383076190476192,-0.191766666666666,-0.120305882352941,-0.0240800000000014,0.098081904761905,31.0123481466106,-359.670336964057,4.17738626021492,2.47720026388865
1995,12,-0.0544387096774201,0.0169483870967753,0.0275757115749542,-0.119789753320685,0.214986175115207,-238.196405449143,-112.080670283799,-21.4266332862946,-0.477307688479305
1996,1,-0.2325732718894,-0.244654480286741,-0.262413662239091,-0.543318406072107,-0.0210267281105985,-161.176085216593,-187.652640600835,-19.5074720909669,-0.520068188869604
1996,2,-0.265039737274218,-0.170469731800765,-0.161631643002028,-0.342180933062881,0.0652866995073893,-123.268408979589,-239.830142960497,-11.8213583123868,0.0761129083992509
1996,3,-0.521569892473117,-0.22313476702509,-0.216129032258063,-0.252891840607209,0.104133640552995,125.192491925221,-395.450894249737,-1.04260558428278,0.17753586047994
1996,4,-0.13179238095238,0.032817037037038,0.0790156862745093,0.11521725490196,0.151586666666667,458.627024133443,-621.155315022251,2.52589058818912,1.1180966563146
1996,5,0.400554838709677,0.935669534050177,0.867713851992409,0.871067931688803,1.21376313364055,1210.38266209289,-1014.40883729327,8.42745252958606,2.39836172771505
1996,6,-0.462955555555553,-0.486534814814814,-0.796446274509805,0.17062745098039,0.787273333333331,597.134830243741,-1196.43876201359,10.8902372388585,4.527031508859
